"corridorPK","corridorID","corridorName"
1,JAK.56,Grogol - Srengseng
2,JAK.26,Rawamangun - Duren Sawit
3,JAK.74,Terminal Rawamangun - Cipinang Muara
4,JAK.58,Cilincing - Rorotan
5,"1",Blok M - Kota
6,"2F",Rusun Cakung Barat - Pulo Gadung
7,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning
8,"7F",Kampung Rambutan - Juanda via Pasar Baru
9,"2B",Harapan Indah - ASMI
10,"6D",Stasiun Tebet - Karet via Underpass
11,"3E",Puri Kembangan - Sentraland Cengkareng
12,"4B",Stasiun Manggarai - UI
13,"2A",Pulo Gadung - Rawa Buaya via Balai Kota
14,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading
15,"6T",Pasar Minggu - Velbak
16,"8C",Kebayoran Lama - Tanah Abang
17,"2",Pulo Gadung - Monas
18,"10H",Tanjung Priok - Blok M
19,"5F",Kampung Melayu - Tanah Abang
20,"4",Pulo Gadung 2 - Tosari
21,"10K",Tanjung Priok - Senen via Taman BMW
22,"12F",Rusun Marunda - Rusun Waduk Pluit
23,"11Q",Kampung Melayu - Pulo Gebang via BKT
24,"12",Tanjung Priok - Pluit
25,JAK.51,Taman Kota - Budi Luhur
26,JAK.106,Terminal Kampung Melayu - Terminal Klender
27,"7A",Kampung Rambutan - Lebak Bulus
28,"2H",Rusun Jati Rawasari - Senen
29,JAK.06,Kampung Rambutan - Pondok Gede
30,"6C",Stasiun Tebet - Karet via Patra Kuningan
31,"6U",Blok M - Pasar Minggu
32,"5",Matraman Baru - Ancol
33,JAK.117,Tanjung Priok - Tanah Merdeka
34,M1H,Tanah Abang - St. Gondangdia
35,T21,Palem Semi - Bundaran Senayan
36,JAK.11,Tanah Abang - Kebayoran Lama
37,D21,Universitas Indonesia - Lebak Bulus
38,JAK.42,Kampung Melayu - Pondok Kelapa
39,JAK.64,Lenteng Agung - Aseli
40,"13",Ciledug - Tendean
41,JAK.71,Kampung Rambutan - Pinang Ranti
42,"1P",Senen - Blok M
43,"7E",Kampung Rambutan - Ragunan
44,JAK.10,Tanah Abang - Kota
45,T11,Poris Plawad - Bundaran Senayan
46,M7,Kampung Rambutan - Monas
47,JAK.22,Dwikora - Penas Kalimalang
48,M10,PGC 2 - Tanjung Priok
49,JAK.35,Pangkalan Jati - Rawamangun
50,S21,Ciputat - CSW
51,"6",Ragunan - Dukuh Atas 2
52,B14,Bekasi Barat - Kuningan
53,"11P",Rusun Pondok Bambu - Walikota Jakarta Timur
54,"8K",Batusari - Grogol
55,JAK.118,Taman Waduk Papanggo - Kota Tua
56,JAK.18,Kalibata - Kuningan
57,M3,Kalideres - Bundaran HI via Veteran
58,JAK.41,Kampung Melayu - Pulo Gadung
59,S31,Bintaro - Fatmawati
60,"1T",Cibubur - Balai Kota
61,JAK.48A,Stasiun Tebet - Rusun Karet Tengsin
62,"13B",Puri Beta - Pancoran Barat
63,JAK.07,Tanah Abang - Grogol via Tawakal
64,M6,Ragunan - MH Thamrin
65,JAK.27,Pulo Gebang - Rorotan
66,"2E",Rusun Rawa Bebek - Kodamar
67,JAK.52,Terminal Kalideres - Terminal Muara Angke
68,"1F",Stasiun Palmerah - Bundaran Senayan
69,"11K",Rusun Komarudin - Penggilingan
70,"6Q",Dukuh Atas - Casablanca via Epicentrum Raya
71,"12H",Rusun Penjaringan - Penjaringan
72,JAK.115,Term. Tj. Priok - Pegangsaan II IGI
73,"13D",Puri Beta - Ragunan
74,JAK.37,Cililitan - Condet via Kayu Manis
75,JAK.73,Jambore Cibubur - Pasar Rebo
76,JAK.05,Semper - Rorotan
77,"3C",Rusun Kapuk Muara - Penjaringan
78,"12A",Pelabuhan Kaliadem - Kota
79,"6M",Stasiun Manggarai - Blok M
80,"11",Pulo Gebang - Matraman
81,"10B",Rusun Cipinang Besar Selatan - Penas Kalimalang
82,"3A",Rusun Pesakih - Kalideres
83,JAK.53,Grogol - Pos Pengumben via Slipi
84,JAK.34,Rawamangun - Klender
85,JAK.86,Term. Rawamangun - Term. Manggarai
86,"9D",Pasar Minggu - Tanah Abang
87,"12B",Pluit - Senen
88,JAK.48B,Stasiun Tebet - Kampung Melayu
89,JAK.23,Senen - Pisangan Baru
90,"1A",Pantai Maju - Balai Kota
91,JAK.01,Tanjung Priok - Plumpang
92,"5D",PGC 1 - Ancol
93,"6B",Ragunan - MH Thamrin via Semanggi
94,"10",Tanjung Priok - PGC 2
95,"1E",Pondok Labu - Blok M
96,"10D",Kampung Rambutan - Tanjung Priok
97,JAK.13,Tanah Abang - Jembatan Lima
98,L13E,Puri Beta - Kuningan (Express)
99,"5C",PGC - Juanda
100,"11M",Rusun Rawa Bebek - Bukit Duri
101,JAK.80,Rawa Buaya - Rawa Kompeni
102,JAK.49,Lebak Bulus - Cipulir
103,JAK.31,Blok M - Andara
104,JAK.29,Tanjung Priok - Sukapura
105,"7Q",Blok M - PGC
106,"7D",Pancoran - Kampung Rambutan
107,"11D",Pulo Gebang - Pulo Gadung 2 via PIK
108,D31,Cinere - Kuningan
109,"8A",Jelambar - Juanda
110,JAK.04,Grogol - Tubagus Angke
111,JAK.50,Kalideres - Puri Kembangan
112,"6H",Senen - Lebak Bulus
113,"1N",Tanah Abang - Blok M
114,M11,Pulo Gebang - Pulo Gadung 2
115,JAK.110A,Rusun Marunda - Terminal Terpadu Pulo Gebang
116,JAK.25,Kp. Rambutan - Kalisari
117,B11,Summarecon Bekasi - BNN
118,D11,Depok - BKN
119,"6V",Ragunan - Gelora Bung Karno
