"stopPK","sourceStopID","stopName","stopLat","stopLon"
1,B03381P,SDN Kelapa Dua 01,-6.207288,106.76927
2,B05069P,Simpang Persahabatan Raya,-6.206364,106.88575
3,B04140P,Sbr. Ps. Deprok 1,-6.217656,106.89506
4,B02310P,Masjid Jami Al Fallah,-6.111213,106.92576
5,P00139,Olimo,-6.1493,106.81669
6,B06183P,Jln. Anggrek Raya,-6.205168,106.9229
7,B05109P,Simpang Raya Bekasi Rawa Kuning,-6.190565,106.96723
8,P00202,Rawa Selatan,-6.173925,106.85809
9,B05314P,SMKN 33,-6.180671,106.90662
10,B02155P,Satrio 6,-6.222992,106.82306
11,B01287P,Jln. KH Hasim,-6.185382,106.73139
12,B00821P,Jagakarsa St. Lenteng Agung,-6.332399,106.83506
13,P00195,Pulo Mas,-6.174736,106.89277
14,B03237P,Ruko Gading Bukit Indah,-6.149387,106.89917
15,B03889P,Sbr. Kalibata Square,-6.255574,106.85167
16,B05991P,Pademangan 1,-6.1337,106.83177
17,B02470P,Mja Rawa Bambu,-6.292069,106.84179
18,B01639P,Jln. Taman Kb. Sirih,-6.182295,106.81661
19,P00147,Pasar Baru,-6.166129,106.83483
20,B00115P,UPT. LLHD 2,-6.225501,106.83489
21,P00193,Pulo Gadung 2,-6.183098,106.90872
22,B03199P,RSPAD 1,-6.176162,106.83987
23,B03283P,Rusun Marunda 1,-6.098204,106.96232
24,B02313P,Masjid Jami Al Inayah,-6.224554,106.86945
25,P00241,Sunter Kelapa Gading Arah Utara,-6.1429,106.89076
26,B05067P,Simpang Permata Meruya 2,-6.195059,106.73972
27,B04170P,Sbr. Ps. Rawa Bening,-6.216795,106.87037
28,B01407P,Jln. Mujair Raya,-6.299485,106.83347
29,B00317P,Dittopad,-6.174759,106.84823
30,B05387P,SMPN 6 Bekasi,-6.28259,106.91272
31,B03214P,RSUD Pasar Minggu,-6.293553,106.82083
32,B02183P,Ambassador,-6.224125,106.82663
33,B00349P,Flyover Bintaro,-6.25748,106.76478
34,B03078P,Rawa Bambu,-6.294753,106.84078
35,P00092,Jembatan Merah,-6.146731,106.83427
36,B02554P,Pal Batu 2,-6.224559,106.8446
37,B04040P,Sbr. Masjid Ar Rohmah,-6.118964,106.89568
38,B00947P,Jln. Buaran III,-6.22065,106.91916
39,P00083,Jak Lingko Tanah Abang,-6.185496,106.81105
40,B00808P,Islamic,-6.228521,106.61473
41,B03151P,RS Medika Permata Hijau 4,-6.218438,106.77855
42,B01625P,Jln. Swakarsa IV Pondok Kelapa,-6.243335,106.94262
43,B05569P,Syibi,-6.350345,106.83272
44,B03484P,Sbr. Dirjen Anggaran,-6.227253,106.898692
45,B03371P,SDN Jagakarsa 05,-6.336947,106.81847
46,B02259P,Masjid Al Waqof,-6.110646,106.91733
47,P00096,JORR,-6.236104,106.75488
48,B03774P,Sbr. Jln. Man 2,-6.300742,106.88071
49,B00291P,Dana Reksa,-6.181365,106.82451
